"term1","term2","cooc"
"public goods dilemma","emotion",20
"punishment","emotion",34
"reciprocity","emotion",16
"reputation","emotion",3
"resource dilemma","emotion",9
"reward","emotion",7
"risk","emotion",3
"rule","emotion",19
"sequentiality","emotion",6
"social value orientation","emotion",16
"socio-economic status","emotion",7
"strategy","emotion",35
"structure","emotion",10
"threat","emotion",18
"time pressure","emotion",7
"trust","emotion",16
"uncertainty","emotion",8
"endowment","emotion valence",6
"environmental","emotion valence",4
"equality","emotion valence",9
"equilibrium","emotion valence",4
"evolution","emotion valence",8
"expectations","emotion valence",11
"experience","emotion valence",3
"fairness","emotion valence",15
"favoritism","emotion valence",5
"feedback","emotion valence",5
"framing","emotion valence",11
"game duration","emotion valence",14
"gender","emotion valence",30
"goal","emotion valence",10
"group","emotion valence",57
"group identification","emotion valence",5
"guilt","emotion valence",6
"harvest","emotion valence",9
"heterogeneous","emotion valence",20
"incentives","emotion valence",76
"individual differences","emotion valence",9
"information","emotion valence",17
"interdependence","emotion valence",5
"intergroup","emotion valence",5
"intuition","emotion valence",5
"knowledge","emotion valence",4
"leadership","emotion valence",9
"learning","emotion valence",3
"moral","emotion valence",10
"motivation","emotion valence",26
"norm","emotion valence",17
"partner type","emotion valence",10
"perception","emotion valence",5
"perspective","emotion valence",7
"power","emotion valence",7
"preference","emotion valence",15
"prisoner's dilemma","emotion valence",22
"promise","emotion valence",4
"psychopathology","emotion valence",6
"public goods dilemma","emotion valence",23
"punishment","emotion valence",52
"reciprocity","emotion valence",22
"reputation","emotion valence",7
"resource dilemma","emotion valence",10
"reward","emotion valence",11
"risk","emotion valence",2
"rule","emotion valence",10
"sequentiality","emotion valence",8
"social value orientation","emotion valence",17
"socio-economic status","emotion valence",5
"strategy","emotion valence",35
"structure","emotion valence",10
"threat","emotion valence",19
"time pressure","emotion valence",4
"trust","emotion valence",10
"uncertainty","emotion valence",6
"environmental","endowment",5
"equality","endowment",21
"equilibrium","endowment",5
"evolution","endowment",3
"expectations","endowment",9
"experience","endowment",6
"fairness","endowment",12
"favoritism","endowment",3
"feedback","endowment",1
"framing","endowment",6
"game duration","endowment",6
"gender","endowment",13
"goal","endowment",5
"group","endowment",54
"group identification","endowment",9
"guilt","endowment",1
"harvest","endowment",0
"heterogeneous","endowment",28
"incentives","endowment",62
"individual differences","endowment",3
"information","endowment",13
"interdependence","endowment",5
"intergroup","endowment",4
"intuition","endowment",1
"knowledge","endowment",4
"leadership","endowment",10
"learning","endowment",1
"moral","endowment",2
"motivation","endowment",10
"norm","endowment",10
"partner type","endowment",3
"perception","endowment",1
"perspective","endowment",6
"power","endowment",4
"preference","endowment",8
"prisoner's dilemma","endowment",10
"promise","endowment",5
"psychopathology","endowment",0
"public goods dilemma","endowment",23
"punishment","endowment",16
"reciprocity","endowment",9
"reputation","endowment",3
"resource dilemma","endowment",13
"reward","endowment",10
"risk","endowment",4
"rule","endowment",6
"sequentiality","endowment",10
"social value orientation","endowment",1
"socio-economic status","endowment",6
"strategy","endowment",21
"structure","endowment",4
"threat","endowment",12
"time pressure","endowment",2
"trust","endowment",5
"uncertainty","endowment",2
"equality","environmental",9
"equilibrium","environmental",6
"evolution","environmental",6
"expectations","environmental",8
"experience","environmental",6
"fairness","environmental",11
"favoritism","environmental",5
"feedback","environmental",2
"framing","environmental",9
"game duration","environmental",10
"gender","environmental",23
"goal","environmental",4
"group","environmental",71
"group identification","environmental",4
"guilt","environmental",5
"harvest","environmental",27
"heterogeneous","environmental",12
"incentives","environmental",77
"individual differences","environmental",12
"information","environmental",17
"interdependence","environmental",6
"intergroup","environmental",3
"intuition","environmental",2
"knowledge","environmental",4
"leadership","environmental",12
"learning","environmental",1
"moral","environmental",4
"motivation","environmental",29
"norm","environmental",32
"partner type","environmental",5
"perception","environmental",4
"perspective","environmental",9
"power","environmental",9
"preference","environmental",12
"prisoner's dilemma","environmental",10
"promise","environmental",1
"psychopathology","environmental",0
"public goods dilemma","environmental",26
"punishment","environmental",30
"reciprocity","environmental",13
"reputation","environmental",5
"resource dilemma","environmental",37
"reward","environmental",7
"risk","environmental",5
"rule","environmental",21
"sequentiality","environmental",7
"social value orientation","environmental",10
"socio-economic status","environmental",9
"strategy","environmental",28
"structure","environmental",9
"threat","environmental",13
"time pressure","environmental",5
"trust","environmental",11
"uncertainty","environmental",20
"equilibrium","equality",9
"evolution","equality",4
"expectations","equality",3
"experience","equality",8
"fairness","equality",16
"favoritism","equality",4
"feedback","equality",5
"framing","equality",7
"game duration","equality",8
"gender","equality",19
"goal","equality",4
"group","equality",73
"group identification","equality",5
"guilt","equality",0
"harvest","equality",7
"heterogeneous","equality",27
"incentives","equality",71
"individual differences","equality",5
"information","equality",14
"interdependence","equality",3
"intergroup","equality",11
"intuition","equality",4
"knowledge","equality",3
"leadership","equality",14
"learning","equality",2
"moral","equality",3
"motivation","equality",24
"norm","equality",10
"partner type","equality",5
"perception","equality",3
"perspective","equality",9
"power","equality",11
"preference","equality",10
"prisoner's dilemma","equality",14
"promise","equality",4
"psychopathology","equality",0
"public goods dilemma","equality",26
"punishment","equality",27
"reciprocity","equality",13
"reputation","equality",1
"resource dilemma","equality",22
"reward","equality",10
"risk","equality",4
"rule","equality",21
"sequentiality","equality",4
"social value orientation","equality",4
"socio-economic status","equality",6
"strategy","equality",33
"structure","equality",8
"threat","equality",17
"time pressure","equality",4
"trust","equality",8
"uncertainty","equality",8
"evolution","equilibrium",3
"expectations","equilibrium",11
"experience","equilibrium",3
"fairness","equilibrium",5
"favoritism","equilibrium",7
"feedback","equilibrium",0
"framing","equilibrium",6
"game duration","equilibrium",6
"gender","equilibrium",16
"goal","equilibrium",3
"group","equilibrium",42
"group identification","equilibrium",5
"guilt","equilibrium",1
"harvest","equilibrium",8
"heterogeneous","equilibrium",18
"incentives","equilibrium",84
"individual differences","equilibrium",5
"information","equilibrium",21
"interdependence","equilibrium",2
"intergroup","equilibrium",2
"intuition","equilibrium",2
"knowledge","equilibrium",2
"leadership","equilibrium",6
"learning","equilibrium",6
"moral","equilibrium",3
"motivation","equilibrium",31
"norm","equilibrium",13
"partner type","equilibrium",7
"perception","equilibrium",2
"perspective","equilibrium",6
"power","equilibrium",8
"preference","equilibrium",12
"prisoner's dilemma","equilibrium",31
"promise","equilibrium",3
"psychopathology","equilibrium",0
"public goods dilemma","equilibrium",32
"punishment","equilibrium",29
"reciprocity","equilibrium",14
"reputation","equilibrium",2
"resource dilemma","equilibrium",9
"reward","equilibrium",10
"risk","equilibrium",4
"rule","equilibrium",9
"sequentiality","equilibrium",11
"social value orientation","equilibrium",3
"socio-economic status","equilibrium",2
"strategy","equilibrium",50
"structure","equilibrium",6
"threat","equilibrium",14
"time pressure","equilibrium",3
"trust","equilibrium",4
"uncertainty","equilibrium",5
"expectations","evolution",1
"experience","evolution",6
"fairness","evolution",8
"favoritism","evolution",2
"feedback","evolution",1
"framing","evolution",5
"game duration","evolution",7
"gender","evolution",17
"goal","evolution",5
"group","evolution",47
"group identification","evolution",4
"guilt","evolution",4
"harvest","evolution",11
"heterogeneous","evolution",11
"incentives","evolution",53
"individual differences","evolution",4
"information","evolution",12
"interdependence","evolution",1
"intergroup","evolution",10
"intuition","evolution",3
"knowledge","evolution",2
"leadership","evolution",5
"learning","evolution",9
"moral","evolution",2
"motivation","evolution",15
"norm","evolution",13
"partner type","evolution",8
"perception","evolution",1
"perspective","evolution",9
"power","evolution",7
"preference","evolution",4
"prisoner's dilemma","evolution",28
"promise","evolution",3
"psychopathology","evolution",2
"public goods dilemma","evolution",7
"punishment","evolution",33
"reciprocity","evolution",14
"reputation","evolution",8
"resource dilemma","evolution",6
"reward","evolution",8
"risk","evolution",2
"rule","evolution",7
"sequentiality","evolution",6
"social value orientation","evolution",11
"socio-economic status","evolution",0
"strategy","evolution",41
"structure","evolution",14
"threat","evolution",11
"time pressure","evolution",7
"trust","evolution",6
"uncertainty","evolution",1
"experience","expectations",6
"fairness","expectations",18
"favoritism","expectations",10
"feedback","expectations",10
"framing","expectations",14
"game duration","expectations",11
"gender","expectations",34
"goal","expectations",13
"group","expectations",78
"group identification","expectations",18
"guilt","expectations",7
"harvest","expectations",7
"heterogeneous","expectations",24
"incentives","expectations",87
"individual differences","expectations",11
"information","expectations",31
"interdependence","expectations",10
"intergroup","expectations",10
"intuition","expectations",8
"knowledge","expectations",10
"leadership","expectations",8
"learning","expectations",6
"moral","expectations",12
"motivation","expectations",49
"norm","expectations",25
"partner type","expectations",16
"perception","expectations",12
"perspective","expectations",10
"power","expectations",12
"preference","expectations",25
"prisoner's dilemma","expectations",42
"promise","expectations",5
"psychopathology","expectations",5
"public goods dilemma","expectations",20
"punishment","expectations",32
"reciprocity","expectations",24
"reputation","expectations",2
"resource dilemma","expectations",8
"reward","expectations",11
"risk","expectations",6
"rule","expectations",15
"sequentiality","expectations",16
"social value orientation","expectations",15
"socio-economic status","expectations",2
"strategy","expectations",47
"structure","expectations",16
"threat","expectations",17
"time pressure","expectations",2
"trust","expectations",27
"uncertainty","expectations",9
"fairness","experience",7
"favoritism","experience",0
"feedback","experience",1
"framing","experience",8
"game duration","experience",7
"gender","experience",6
"goal","experience",6
"group","experience",31
"group identification","experience",4
"guilt","experience",3
"harvest","experience",7
"heterogeneous","experience",7
"incentives","experience",40
"individual differences","experience",7
"information","experience",20
"interdependence","experience",0
"intergroup","experience",1
"intuition","experience",4
"knowledge","experience",3
"leadership","experience",5
"learning","experience",9
"moral","experience",3
"motivation","experience",9
"norm","experience",11
"partner type","experience",6
"perception","experience",7
"perspective","experience",3
"power","experience",4
"preference","experience",4
"prisoner's dilemma","experience",17
"promise","experience",2
"psychopathology","experience",0
"public goods dilemma","experience",10
"punishment","experience",17
"reciprocity","experience",9
"reputation","experience",3
"resource dilemma","experience",13
"reward","experience",6
"risk","experience",3
"rule","experience",10
"sequentiality","experience",4
"social value orientation","experience",5
"socio-economic status","experience",2
"strategy","experience",27
"structure","experience",5
"threat","experience",8
"time pressure","experience",3
"trust","experience",8
"uncertainty","experience",2
"favoritism","fairness",5
"feedback","fairness",8
"framing","fairness",7
"game duration","fairness",10
"gender","fairness",31
"goal","fairness",16
"group","fairness",80
"group identification","fairness",10
"guilt","fairness",11
"harvest","fairness",9
"heterogeneous","fairness",14
"incentives","fairness",92
"individual differences","fairness",8
"information","fairness",19
"interdependence","fairness",3
"intergroup","fairness",9
"intuition","fairness",5
"knowledge","fairness",11
"leadership","fairness",15
"learning","fairness",5
"moral","fairness",9
"motivation","fairness",47
"norm","fairness",26
"partner type","fairness",9
"perception","fairness",11
"perspective","fairness",10
"power","fairness",16
"preference","fairness",20
"prisoner's dilemma","fairness",28
"promise","fairness",7
"psychopathology","fairness",4
"public goods dilemma","fairness",25
"punishment","fairness",49
"reciprocity","fairness",24
"reputation","fairness",3
"resource dilemma","fairness",17
"reward","fairness",12
"risk","fairness",5
"rule","fairness",18
"sequentiality","fairness",10
"social value orientation","fairness",16
"socio-economic status","fairness",5
"strategy","fairness",34
"structure","fairness",14
"threat","fairness",15
"time pressure","fairness",7
"trust","fairness",24
"uncertainty","fairness",4
"feedback","favoritism",2
"framing","favoritism",5
"game duration","favoritism",10
"gender","favoritism",11
"goal","favoritism",3
"group","favoritism",39
"group identification","favoritism",14
"guilt","favoritism",2
"harvest","favoritism",9
"heterogeneous","favoritism",7
"incentives","favoritism",36
"individual differences","favoritism",4
"information","favoritism",7
"interdependence","favoritism",3
"intergroup","favoritism",13
"intuition","favoritism",1
"knowledge","favoritism",6
"leadership","favoritism",5
"learning","favoritism",0
"moral","favoritism",1
"motivation","favoritism",13
"norm","favoritism",7
"partner type","favoritism",6
"perception","favoritism",3
"perspective","favoritism",8
"power","favoritism",1
"preference","favoritism",4
"prisoner's dilemma","favoritism",13
"promise","favoritism",3
"psychopathology","favoritism",0
"public goods dilemma","favoritism",9
"punishment","favoritism",13
"reciprocity","favoritism",9
"reputation","favoritism",3
"resource dilemma","favoritism",2
"reward","favoritism",5
"risk","favoritism",1
"rule","favoritism",4
"sequentiality","favoritism",4
"social value orientation","favoritism",6
"socio-economic status","favoritism",4
"strategy","favoritism",15
"structure","favoritism",4
"threat","favoritism",8
"time pressure","favoritism",2
"trust","favoritism",4
"uncertainty","favoritism",1
"framing","feedback",5
"game duration","feedback",13
"gender","feedback",8
"goal","feedback",11
"group","feedback",35
"group identification","feedback",3
"guilt","feedback",1
"harvest","feedback",3
"heterogeneous","feedback",7
"incentives","feedback",37
"individual differences","feedback",4
"information","feedback",20
"interdependence","feedback",4
"intergroup","feedback",3
"intuition","feedback",1
"knowledge","feedback",4
"leadership","feedback",8
"learning","feedback",1
"moral","feedback",1
"motivation","feedback",18
"norm","feedback",4
"partner type","feedback",5
"perception","feedback",1
"perspective","feedback",3
"power","feedback",7
"preference","feedback",2
"prisoner's dilemma","feedback",20
"promise","feedback",1
"psychopathology","feedback",2
"public goods dilemma","feedback",6
"punishment","feedback",13
"reciprocity","feedback",6
"reputation","feedback",2
"resource dilemma","feedback",6
"reward","feedback",4
"risk","feedback",2
"rule","feedback",5
"sequentiality","feedback",7
"social value orientation","feedback",4
"socio-economic status","feedback",4
"strategy","feedback",18
"structure","feedback",5
"threat","feedback",6
"time pressure","feedback",4
"trust","feedback",8
"uncertainty","feedback",2
"game duration","framing",9
"gender","framing",20
"goal","framing",6
"group","framing",76
"group identification","framing",16
"guilt","framing",6
"harvest","framing",7
"heterogeneous","framing",20
"incentives","framing",74
"individual differences","framing",9
"information","framing",20
"interdependence","framing",8
"intergroup","framing",15
"intuition","framing",4
"knowledge","framing",6
"leadership","framing",11
"learning","framing",3
"moral","framing",8
"motivation","framing",36
"norm","framing",16
"partner type","framing",7
"perception","framing",8
"perspective","framing",7
"power","framing",13
"preference","framing",15
"prisoner's dilemma","framing",37
"promise","framing",4
"psychopathology","framing",2
"public goods dilemma","framing",27
"punishment","framing",25
"reciprocity","framing",16
"reputation","framing",3
"resource dilemma","framing",9
"reward","framing",15
"risk","framing",8
"rule","framing",10
"sequentiality","framing",12
"social value orientation","framing",22
"socio-economic status","framing",3
"strategy","framing",46
"structure","framing",8
"threat","framing",21
"time pressure","framing",10
"trust","framing",13
"uncertainty","framing",4
"gender","game duration",33
"goal","game duration",18
"group","game duration",80
"group identification","game duration",10
"guilt","game duration",3
"harvest","game duration",21
"heterogeneous","game duration",17
"incentives","game duration",113
"individual differences","game duration",24
"information","game duration",29
"interdependence","game duration",7
"intergroup","game duration",6
"intuition","game duration",2
"knowledge","game duration",7
"leadership","game duration",15
"learning","game duration",6
"moral","game duration",7
"motivation","game duration",37
"norm","game duration",16
"partner type","game duration",15
"perception","game duration",8
"perspective","game duration",9
"power","game duration",19
"preference","game duration",5
"prisoner's dilemma","game duration",60
"promise","game duration",10
"psychopathology","game duration",4
"public goods dilemma","game duration",18
"punishment","game duration",42
"reciprocity","game duration",16
"reputation","game duration",4
"resource dilemma","game duration",13
"reward","game duration",28
"risk","game duration",0
"rule","game duration",9
"sequentiality","game duration",19
"social value orientation","game duration",12
"socio-economic status","game duration",6
"strategy","game duration",76
"structure","game duration",8
"threat","game duration",32
"time pressure","game duration",5
"trust","game duration",11
"uncertainty","game duration",3
"goal","gender",21
"group","gender",147
"group identification","gender",41
"guilt","gender",8
"harvest","gender",15
"heterogeneous","gender",40
"incentives","gender",168
"individual differences","gender",26
"information","gender",43
"interdependence","gender",17
"intergroup","gender",20
"intuition","gender",11
"knowledge","gender",16
"leadership","gender",26
"learning","gender",6
"moral","gender",11
"motivation","gender",88
"norm","gender",34
"partner type","gender",24
"perception","gender",16
"perspective","gender",22
"power","gender",20
"preference","gender",38
"prisoner's dilemma","gender",62
"promise","gender",4
"psychopathology","gender",8
"public goods dilemma","gender",41
"punishment","gender",79
"reciprocity","gender",41
"reputation","gender",9
"resource dilemma","gender",22
"reward","gender",20
"risk","gender",12
"rule","gender",21
"sequentiality","gender",15
"social value orientation","gender",33
"socio-economic status","gender",22
"strategy","gender",103
"structure","gender",22
"threat","gender",46
"time pressure","gender",11
"trust","gender",20
"uncertainty","gender",6
"group","goal",47
"group identification","goal",7
"guilt","goal",6
"harvest","goal",9
"heterogeneous","goal",8
"incentives","goal",52
"individual differences","goal",8
"information","goal",15
"interdependence","goal",2
"intergroup","goal",6
"intuition","goal",3
"knowledge","goal",4
"leadership","goal",11
"learning","goal",3
"moral","goal",5
"motivation","goal",24
"norm","goal",10
"partner type","goal",17
"perception","goal",7
"perspective","goal",8
"power","goal",7
"preference","goal",12
"prisoner's dilemma","goal",27
"promise","goal",1
"psychopathology","goal",2
"public goods dilemma","goal",8
"punishment","goal",23
"reciprocity","goal",11
"reputation","goal",3
"resource dilemma","goal",12
"reward","goal",8
"risk","goal",7
"rule","goal",8
"sequentiality","goal",9
"social value orientation","goal",11
"socio-economic status","goal",5
"strategy","goal",39
"structure","goal",13
"threat","goal",18
"time pressure","goal",5
"trust","goal",9
"uncertainty","goal",2
"group identification","group",94
"guilt","group",19
"harvest","group",63
"heterogeneous","group",130
"incentives","group",506
"individual differences","group",44
"information","group",130
"interdependence","group",27
"intergroup","group",78
"intuition","group",24
"knowledge","group",44
"leadership","group",97
"learning","group",20
"moral","group",26
"motivation","group",169
"norm","group",108
"partner type","group",55
"perception","group",36
"perspective","group",52
"power","group",73
"preference","group",66
"prisoner's dilemma","group",139
"promise","group",17
"psychopathology","group",16
"public goods dilemma","group",142
"punishment","group",231
"reciprocity","group",101
"reputation","group",30
"resource dilemma","group",79
"reward","group",59
"risk","group",18
"rule","group",73
"sequentiality","group",53
"social value orientation","group",56
"socio-economic status","group",28
"strategy","group",231
"structure","group",61
"threat","group",101
"time pressure","group",35
"trust","group",66
"uncertainty","group",30
"guilt","group identification",4
"harvest","group identification",5
"heterogeneous","group identification",25
"incentives","group identification",65
"individual differences","group identification",9
"information","group identification",16
"interdependence","group identification",9
"intergroup","group identification",31
"intuition","group identification",5
"knowledge","group identification",17
"leadership","group identification",13
"learning","group identification",0
"moral","group identification",5
"motivation","group identification",32
"norm","group identification",28
"partner type","group identification",9
"perception","group identification",12
"perspective","group identification",14
"power","group identification",10
"preference","group identification",6
"prisoner's dilemma","group identification",25
"promise","group identification",6
"psychopathology","group identification",0
"public goods dilemma","group identification",9
"punishment","group identification",29
"reciprocity","group identification",16
"reputation","group identification",6
"resource dilemma","group identification",8
"reward","group identification",6
"risk","group identification",0
"rule","group identification",9
"sequentiality","group identification",8
"social value orientation","group identification",7
"socio-economic status","group identification",12
"strategy","group identification",32
"structure","group identification",9
"threat","group identification",20
"time pressure","group identification",5
"trust","group identification",11
"uncertainty","group identification",0
"harvest","guilt",3
"heterogeneous","guilt",2
"incentives","guilt",26
"individual differences","guilt",2
"information","guilt",6
"interdependence","guilt",2
"intergroup","guilt",2
"intuition","guilt",3
"knowledge","guilt",4
"leadership","guilt",7
"learning","guilt",2
"moral","guilt",5
"motivation","guilt",8
"norm","guilt",10
"partner type","guilt",7
"perception","guilt",3
"perspective","guilt",2
"power","guilt",3
"preference","guilt",3
"prisoner's dilemma","guilt",12
"promise","guilt",2
"psychopathology","guilt",3
"public goods dilemma","guilt",3
"punishment","guilt",16
"reciprocity","guilt",8
"reputation","guilt",1
"resource dilemma","guilt",3
"reward","guilt",3
"risk","guilt",3
"rule","guilt",4
"sequentiality","guilt",6
"social value orientation","guilt",6
"socio-economic status","guilt",0
"strategy","guilt",12
"structure","guilt",1
"threat","guilt",6
"time pressure","guilt",5
"trust","guilt",10
"uncertainty","guilt",1
"heterogeneous","harvest",15
"incentives","harvest",78
"individual differences","harvest",9
"information","harvest",20
"interdependence","harvest",3
"intergroup","harvest",2
"intuition","harvest",1
"knowledge","harvest",3
"leadership","harvest",14
"learning","harvest",4
"moral","harvest",4
"motivation","harvest",25
"norm","harvest",18
"partner type","harvest",7
"perception","harvest",7
"perspective","harvest",5
"power","harvest",11
"preference","harvest",9
"prisoner's dilemma","harvest",25
"promise","harvest",0
"psychopathology","harvest",3
"public goods dilemma","harvest",18
"punishment","harvest",37
"reciprocity","harvest",15
"reputation","harvest",4
"resource dilemma","harvest",17
"reward","harvest",8
"risk","harvest",3
"rule","harvest",22
"sequentiality","harvest",7
"social value orientation","harvest",7
"socio-economic status","harvest",8
"strategy","harvest",45
"structure","harvest",12
"threat","harvest",17
"time pressure","harvest",5
"trust","harvest",11
"uncertainty","harvest",9
"incentives","heterogeneous",123
"individual differences","heterogeneous",22
"information","heterogeneous",33
"interdependence","heterogeneous",6
"intergroup","heterogeneous",12
"intuition","heterogeneous",3
"knowledge","heterogeneous",7
"leadership","heterogeneous",14
"learning","heterogeneous",6
"moral","heterogeneous",1
"motivation","heterogeneous",52
"norm","heterogeneous",29
"partner type","heterogeneous",21
"perception","heterogeneous",11
"perspective","heterogeneous",17
"power","heterogeneous",17
"preference","heterogeneous",38
"prisoner's dilemma","heterogeneous",32
"promise","heterogeneous",2
"psychopathology","heterogeneous",7
"public goods dilemma","heterogeneous",47
"punishment","heterogeneous",43
"reciprocity","heterogeneous",21
"reputation","heterogeneous",4
"resource dilemma","heterogeneous",17
"reward","heterogeneous",18
"risk","heterogeneous",6
"rule","heterogeneous",26
"sequentiality","heterogeneous",12
"social value orientation","heterogeneous",15
"socio-economic status","heterogeneous",14
"strategy","heterogeneous",68
"structure","heterogeneous",19
"threat","heterogeneous",36
"time pressure","heterogeneous",5
"trust","heterogeneous",18
"uncertainty","heterogeneous",4
"individual differences","incentives",62
"information","incentives",154
"interdependence","incentives",44
"intergroup","incentives",56
"intuition","incentives",33
"knowledge","incentives",46
"leadership","incentives",79
"learning","incentives",32
"moral","incentives",34
"motivation","incentives",227
"norm","incentives",130
"partner type","incentives",71
"perception","incentives",37
"perspective","incentives",63
"power","incentives",69
"preference","incentives",92
"prisoner's dilemma","incentives",236
"promise","incentives",23
"psychopathology","incentives",13
"public goods dilemma","incentives",159
"punishment","incentives",294
"reciprocity","incentives",109
"reputation","incentives",41
"resource dilemma","incentives",84
"reward","incentives",105
"risk","incentives",37
"rule","incentives",94
"sequentiality","incentives",66
"social value orientation","incentives",79
"socio-economic status","incentives",28
"strategy","incentives",343
"structure","incentives",92
"threat","incentives",119
"time pressure","incentives",40
"trust","incentives",86
"uncertainty","incentives",39
"information","individual differences",18
"interdependence","individual differences",0
"intergroup","individual differences",5
"intuition","individual differences",7
"knowledge","individual differences",3
"leadership","individual differences",9
"learning","individual differences",1
"moral","individual differences",8
"motivation","individual differences",37
"norm","individual differences",6
"partner type","individual differences",14
"perception","individual differences",10
"perspective","individual differences",17
"power","individual differences",10
"preference","individual differences",10
"prisoner's dilemma","individual differences",38
"promise","individual differences",3
"psychopathology","individual differences",7
"public goods dilemma","individual differences",13
"punishment","individual differences",18
"reciprocity","individual differences",11
"reputation","individual differences",2
"resource dilemma","individual differences",6
"reward","individual differences",8
"risk","individual differences",4
"rule","individual differences",5
"sequentiality","individual differences",8
"social value orientation","individual differences",16
"socio-economic status","individual differences",5
"strategy","individual differences",39
"structure","individual differences",11
"threat","individual differences",11
"time pressure","individual differences",5
"trust","individual differences",17
"uncertainty","individual differences",4
"interdependence","information",15
"intergroup","information",5
"intuition","information",7
"knowledge","information",18
"leadership","information",25
"learning","information",15
"moral","information",7
"motivation","information",52
"norm","information",32
"partner type","information",21
"perception","information",12
"perspective","information",14
"power","information",19
"preference","information",16
"prisoner's dilemma","information",41
"promise","information",6
"psychopathology","information",3
"public goods dilemma","information",47
"punishment","information",69
"reciprocity","information",31
"reputation","information",10
"resource dilemma","information",24
"reward","information",23
"risk","information",8
"rule","information",25
"sequentiality","information",27
"social value orientation","information",15
"socio-economic status","information",10
"strategy","information",92
"structure","information",19
"threat","information",22
"time pressure","information",12
"trust","information",20
"uncertainty","information",10
"intergroup","interdependence",3
"intuition","interdependence",1
"knowledge","interdependence",3
"leadership","interdependence",3
"learning","interdependence",0
"moral","interdependence",1
"motivation","interdependence",15
"norm","interdependence",11
"partner type","interdependence",2
"perception","interdependence",1
"perspective","interdependence",5
"power","interdependence",2
"preference","interdependence",7
"prisoner's dilemma","interdependence",16
"promise","interdependence",0
"psychopathology","interdependence",0
"public goods dilemma","interdependence",8
"punishment","interdependence",10
"reciprocity","interdependence",7
"reputation","interdependence",1
"resource dilemma","interdependence",4
"reward","interdependence",5
"risk","interdependence",6
"rule","interdependence",7
"sequentiality","interdependence",6
"social value orientation","interdependence",5
"socio-economic status","interdependence",2
"strategy","interdependence",17
"structure","interdependence",5
"threat","interdependence",5
"time pressure","interdependence",0
"trust","interdependence",7
"uncertainty","interdependence",2
"intuition","intergroup",5
"knowledge","intergroup",8
"leadership","intergroup",8
"learning","intergroup",2
"moral","intergroup",3
"motivation","intergroup",21
"norm","intergroup",7
"partner type","intergroup",7
"perception","intergroup",7
"perspective","intergroup",9
"power","intergroup",6
"preference","intergroup",2
"prisoner's dilemma","intergroup",31
"promise","intergroup",2
"psychopathology","intergroup",0
"public goods dilemma","intergroup",3
"punishment","intergroup",24
"reciprocity","intergroup",16
"reputation","intergroup",3
"resource dilemma","intergroup",5
"reward","intergroup",6
"risk","intergroup",2
"rule","intergroup",11
"sequentiality","intergroup",5
"social value orientation","intergroup",6
"socio-economic status","intergroup",1
"strategy","intergroup",28
"structure","intergroup",13
"threat","intergroup",14
"time pressure","intergroup",6
"trust","intergroup",9
"uncertainty","intergroup",2
"knowledge","intuition",5
"leadership","intuition",4
"learning","intuition",3
"moral","intuition",2
"motivation","intuition",14
"norm","intuition",2
"partner type","intuition",8
"perception","intuition",5
"perspective","intuition",3
"power","intuition",3
"preference","intuition",7
"prisoner's dilemma","intuition",15
"promise","intuition",2
"psychopathology","intuition",3
"public goods dilemma","intuition",4
"punishment","intuition",13
"reciprocity","intuition",3
"reputation","intuition",3
"resource dilemma","intuition",1
"reward","intuition",3
"risk","intuition",1
"rule","intuition",2
"sequentiality","intuition",3
"social value orientation","intuition",9
"socio-economic status","intuition",0
"strategy","intuition",18
"structure","intuition",14
"threat","intuition",4
"time pressure","intuition",12
"trust","intuition",3
"uncertainty","intuition",1
"leadership","knowledge",6
"learning","knowledge",2
"moral","knowledge",2
"motivation","knowledge",26
"norm","knowledge",8
"partner type","knowledge",8
"perception","knowledge",6
"perspective","knowledge",5
"power","knowledge",10
"preference","knowledge",9
"prisoner's dilemma","knowledge",20
"promise","knowledge",2
"psychopathology","knowledge",4
"public goods dilemma","knowledge",10
"punishment","knowledge",22
"reciprocity","knowledge",9
"reputation","knowledge",4
"resource dilemma","knowledge",5
"reward","knowledge",10
"risk","knowledge",3
"rule","knowledge",6
"sequentiality","knowledge",5
"social value orientation","knowledge",8
"socio-economic status","knowledge",3
"strategy","knowledge",20
"structure","knowledge",6
"threat","knowledge",9
"time pressure","knowledge",5
"trust","knowledge",6
"uncertainty","knowledge",1
"learning","leadership",3
"moral","leadership",4
"motivation","leadership",37
"norm","leadership",17
"partner type","leadership",13
"perception","leadership",5
"perspective","leadership",9
"power","leadership",18
"preference","leadership",12
"prisoner's dilemma","leadership",18
"promise","leadership",2
"psychopathology","leadership",13
"public goods dilemma","leadership",29
"punishment","leadership",34
"reciprocity","leadership",16
"reputation","leadership",6
"resource dilemma","leadership",16
"reward","leadership",9
"risk","leadership",3
"rule","leadership",11
"sequentiality","leadership",8
"social value orientation","leadership",8
"socio-economic status","leadership",7
"strategy","leadership",37
"structure","leadership",12
"threat","leadership",21
"time pressure","leadership",4
"trust","leadership",19
"uncertainty","leadership",3
"moral","learning",3
"motivation","learning",11
"norm","learning",6
"partner type","learning",5
"perception","learning",1
"perspective","learning",3
"power","learning",3
"preference","learning",2
"prisoner's dilemma","learning",18
"promise","learning",0
"psychopathology","learning",0
"public goods dilemma","learning",15
"punishment","learning",10
"reciprocity","learning",7
"reputation","learning",5
